1
     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae         Duanmu            Yin             Yu
         1          816          814            0          237           41           16         4237         2000            bba      2000    h264     320      180      24          0    801.640         no   HTTP/1.1      1.871      0.000         51.063      -5762.475          0.238
         2        19131         1518            0          237           16           12         3221         4000            bba      2000    h264     320      180      24       2000     16.001         no   HTTP/1.1      1.871      0.483         46.463     -11524.950          0.238
         3        35406           30        12275          237         1910           28         7165         2000            bba      2000    h264     320      180      24       4000     11.869         no   HTTP/1.1      1.307      0.483        219.847      37537.575        -19.772
         4        59324         1857        21917          377           26           25         6250         2000            bba      2000    h264     384      216      24       6000   1845.018         no   HTTP/1.1      1.218      0.419        368.781     103526.100        -19.732
         5        89499         9411        28174          377          129          610       152641         2000            bba      2000    h264     384      216      24       8000    225.795         no   HTTP/1.1      1.214      0.437        400.721     151600.854        -19.710
         6        92800          169         1301          237         6354          536       134235         2000            bba      2000    h264     320      180      24      10000     39.856         no   HTTP/1.1      1.215      0.431        213.422      89850.150        -19.724
         7       110824           36        16023          377        43557          784       196010         2000            bba      2000    h264     384      216      24      12000     16.186         no   HTTP/1.1      1.215      0.445        128.549      53634.675        -19.719
         8       119226         1046         6401          563         2170         1135       283756         2000            bba      2000    h264     512      288      24      14000   1022.433         no   HTTP/1.1      1.247      0.423        137.719      69312.429        -19.683
         9       124018          610         2792          563         2781          848       212081         2000            bba      2000    h264     512      288      24      16000     17.264         no   HTTP/1.1      1.251      0.431         79.865      30182.503        -19.683
        10       125323          193            0          563         4316          416       104135         2695            bba      2000    h264     512      288      24      18000     24.951         no   HTTP/1.1      1.255      0.445         56.663      11542.577        -19.767
        11       126559          135            0          752         8436          569       142372         3459            bba      2000    h264     512      288      24      20000     14.478         no   HTTP/1.1      1.262      0.437         47.791       3729.651          0.411
        12       130412          334          393         1063         4869          813       203301         2000            bba      2000    h264     640      360      24      22000     10.993         no   HTTP/1.1      1.269      0.390         49.199       5661.559        -20.835
        13       131791          412            0         1063         5474         1127       281961         2621            bba      2000    h264     640      360      24      24000      9.256         no   HTTP/1.1      1.293      0.387         49.461       6725.370        -20.905
        14       137043          697         2631         1063         3494         1217       304428         2000            bba      2000    h264     640      360      24      26000     11.152         no   HTTP/1.1      1.310      0.400         54.505      14503.181        -19.664
        15       139135          881           91         1063         2642         1164       291007         2000            bba      2000    h264     640      360      24      28000     13.810         no   HTTP/1.1      1.330      0.420         54.519      15839.992        -19.638
        16       147476         7322         6340         1063          359         1317       329423         2000            bba      2000    h264     640      360      24      30000     15.039         no   HTTP/1.1      1.340      0.444         61.348      28030.803        -19.485
        17       148766           61            0          237         8714          265        66450         2710            bba      2000    h264     320      180      24      32000     13.813         no   HTTP/1.1      1.329      0.412         60.593      27169.042        -19.515
        18       154819          111         3342          377         5850          324        81176         2000            bba      2000    h264     384      216      24      34000     93.824         no   HTTP/1.1      1.310      0.406         54.603      18412.567        -19.637
        19       158357           95         1538          563         9784          464       116187         2000            bba      2000    h264     512      288      24      36000     11.612         no   HTTP/1.1      1.286      0.420         56.696      23404.321        -19.577
